Latitude,30.438255,30.332184,29.651634,28.538336,27.950575,26.640629,25.761681,,API Key,
Longitude,-84.280731,-81.655647,-82.324829,-81.379234,-82.457176,-81.872307,-80.191788,
City,Tallahassee,Jacksonville,Gainesville,Orlando,Tampa,Fort Myers,Miami,,,
,,,,,,,,,,
Date and Time,City,Weather,Temperature (F),Humidity (%),Wind (mph),Car Accidents,,,,
 1/29/2025 6:00pm,Tallahassee,Cloudy,67.03,65,1.01,4,,,,
 1/29/2025 6:00pm,Jacksonville,Smokey,66.74,62,8.05,4,,,,
 1/29/2025 6:00pm,Gainesville,Cloudy,64.94,58,4.09,3,,,,
 1/29/2025 6:00pm,Orlando,Clear,67.6,72,6.91,10,,,,
 1/29/2025 6:00pm,Tampa,Clear,64.78,75,3.44,8,,,,
 1/29/2025 6:00pm,Fort Myers,Cloudy,67.6,84,7.87,0,,,,
 1/29/2025 6:00pm,Miami,Cloudy,70.34,78,6.91,6,,,,
1/30/2025 1:00pm,Tallahassee,Cloudy,72.84,61,8.05,1,,,,
1/30/2025 1:00pm,Jacksonville,Smokey,71.06,43,12.66,3,,,,
1/30/2025 1:00pm,Gainesville,Clear,72.72,42,10.36,0,,,,
1/30/2025 1:00pm,Orlando,Clear,75.25,57,11.5,11,,,,
1/30/2025 1:00pm,Tampa,Cloudy,76.8,53,6.91,17,,,,
1/30/2025 1:00pm,Fort Myers,Clear,78.69,58,6.91,2,,,,
1/30/2025 1:00pm,Miami,Cloudy,77.5,71,10.36,6,,,,
1/31/2025 12:00pm,Tallahassee,Cloudy,72.52,74,12.66,5,,,,
1/31/2025 12:00pm,Jacksonville,Smokey,75.74,66,13.8,4,,,,
1/31/2025 12:00pm,Gainesville,Clear,76.37,62,10.36,3,,,,
1/31/2025 12:00pm,Orlando,Clear,77.07,71,17.27,16,,,,
1/31/2025 12:00pm,Tampa,Clear,77.79,67,9.22,13,,,,
1/31/2025 12:00pm,Fort Myers,Clear,79.66,65,11.5,1,,,,
1/31/2025 12:00pm,Miami,Cloudy,78.8,74,14.97,10,,,,
2/1/2025 12:00pm,Tallahassee,Cloudy,63.39,67,8.05,6,,,,
2/1/2025 12:00pm,Jacksonville,Clear,67.33,54,6.91,4,,,,
2/1/2025 12:00pm,Gainesville,Clear,68.29,49,6.91,2,,,,
2/1/2025 12:00pm,Orlando,Cloudy,68.72,75,9.22,15,,,,
2/1/2025 12:00pm,Tampa,Cloudy,68.63,73,8.05,14,,,,
2/1/2025 12:00pm,Fort Myers,Foggy,75.63,84,8.05,4,,,,
2/1/2025 12:00pm,Miami,Cloudy,80.19,77,6.91,9,,,,
